"","Diretoria.Regional","Código.IBGE","municipio","n_alunos","n_alunos_recebeu","perc_alunos_recebeu","n_alunos_pobres","n_alunos_recebeu_pobres","perc_alunos_recebeu_pobres"
"274","Varginha",3124401,"ESPIRITO SANTO DO DOURADO",21,21,1,168,4,0.0238095238095238
"275","Poços de Caldas",3124500,"ESTIVA",177,112,0.632768361581921,137,13,0.0948905109489051
"276","Muriaé",3124609,"ESTRELA DALVA",48,47,0.979166666666667,19,3,0.157894736842105
"277","Divinópolis",3124708,"ESTRELA DO INDAIA",44,44,1,13,3,0.230769230769231
"278","Uberlândia",3124807,"ESTRELA DO SUL",147,135,0.918367346938776,54,13,0.240740740740741
"279","Muriaé",3124906,"EUGENOPOLIS",259,182,0.702702702702703,67,6,0.0895522388059701
"280","Juiz de Fora",3125002,"EWBANK DA CAMARA",171,143,0.83625730994152,27,13,0.481481481481481
"281","Poços de Caldas",3125101,"EXTREMA",62,44,0.709677419354839,53,7,0.132075471698113
"282","Varginha",3125200,"FAMA",17,15,0.882352941176471,12,5,0.416666666666667
"283","Muriaé",3125309,"FARIA LEMOS",137,104,0.759124087591241,5,0,0
